P037028 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  High school graduate (includes equivalency)
P037016 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Master's degree
1.000000 km,3.000000 km,5.000000 km,total
8832,162424,334757,5273443

P037017 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Professional school degree
1.000000 km,3.000000 km,5.000000 km,total
3224,65432,149430,2263973

P037014 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Associate degree
1.000000 km,3.000000 km,5.000000 km,total
8865,161333,293727,5120995

P037015 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Bachelor's degree
1.000000 km,3.000000 km,5.000000 km,total
23413,444941,868465,14148039

P037032 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Bachelor's degree
1.000000 km,3.000000 km,5.000000 km,total
21719,443186,893418,14480196

P037033 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Master's degree
1.000000 km,3.000000 km,5.000000 km,total
8527,173322,357975,5560344

"P037027 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  12th grade, no diploma"
1.000000 km,3.000000 km,5.000000 km,total
11054,156166,264813,3457301

P037026 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  11th grade
1.000000 km,3.000000 km,5.000000 km,total
7309,111857,187837,2754404

P037023 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  7th and 8th grade
1.000000 km,3.000000 km,5.000000 km,total
8989,134051,214197,3403002

P037022 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  5th and 6th grade
1.000000 km,3.000000 km,5.000000 km,total
8691,118773,183020,1809492

P037021 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Nursery to 4th grade
1.000000 km,3.000000 km,5.000000 km,total
4484,48570,72122,779880

P037020 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  No schooling completed
1.000000 km,3.000000 km,5.000000 km,total
7270,95701,147312,1399481

P037009 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  11th grade
1.000000 km,3.000000 km,5.000000 km,total
6688,102707,164682,2496141

P037008 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  10th grade
1.000000 km,3.000000 km,5.000000 km,total
7160,100161,166835,2657600

P037025 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  10th grade
1.000000 km,3.000000 km,5.000000 km,total
7744,112739,185669,2894401

P037024 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  9th grade
1.000000 km,3.000000 km,5.000000 km,total
7643,105670,168297,2362810

P037005 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  5th and 6th grade
1.000000 km,3.000000 km,5.000000 km,total
8764,116860,177053,1811565

P037004 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Nursery to 4th grade
1.000000 km,3.000000 km,5.000000 km,total
3413,43301,62270,748307

P037007 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  9th grade
1.000000 km,3.000000 km,5.000000 km,total
6697,98884,154975,2254285

P037006 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  7th and 8th grade
1.000000 km,3.000000 km,5.000000 km,total
7841,113357,179912,3054881

P037001 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total: Population 25 years and over
1.000000 km,3.000000 km,5.000000 km,total
375670,6329405,11305531,184499965

P037003 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  No schooling completed
1.000000 km,3.000000 km,5.000000 km,total
6770,84022,131171,1330094

P037002 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:
1.000000 km,3.000000 km,5.000000 km,total
181787,3035228,5391306,88136640

"P037029 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, less than 1 year"
1.000000 km,3.000000 km,5.000000 km,total
11724,217893,400676,7266614

