B15002_023E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!7th and 8th grade
B15002_001E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Total:
1.000000 km,3.000000 km,5.000000 km,total
268605,4778387,9371206,202156388

B15002_008E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!10th grade
1.000000 km,3.000000 km,5.000000 km,total
4461,67677,119908,2399502

"B15002_011E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!High school graduate, GED, or alternative"
1.000000 km,3.000000 km,5.000000 km,total
37805,658694,1227861,28169832

B15002_003E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!No schooling completed
1.000000 km,3.000000 km,5.000000 km,total
3148,46085,79225,1126232

B15002_009E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!11th grade
1.000000 km,3.000000 km,5.000000 km,total
3563,73572,141908,2560015

B15002_031E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Associate's degree
1.000000 km,3.000000 km,5.000000 km,total
9047,174559,354511,8660007

B15002_019E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:
1.000000 km,3.000000 km,5.000000 km,total
137621,2458824,4888602,104992831

B15002_021E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Nursery to 4th grade
1.000000 km,3.000000 km,5.000000 km,total
3002,47946,78968,953871

"B15002_030E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, 1 or more years, no degree"
1.000000 km,3.000000 km,5.000000 km,total
16808,328733,667635,15111065

B15002_017E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Professional school degree
1.000000 km,3.000000 km,5.000000 km,total
2866,41490,106338,2374981

B15002_005E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!5th and 6th grade
1.000000 km,3.000000 km,5.000000 km,total
6667,103174,166187,1932012

B15002_034E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Professional school degree
1.000000 km,3.000000 km,5.000000 km,total
1959,31192,77192,1552144

"B15002_027E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!12th grade, no diploma"
1.000000 km,3.000000 km,5.000000 km,total
3308,59176,109309,1825532

B15002_025E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!10th grade
1.000000 km,3.000000 km,5.000000 km,total
4254,70761,128840,2415866

"B15002_028E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!High school graduate, GED, or alternative"
1.000000 km,3.000000 km,5.000000 km,total
38720,681943,1316924,30346682

B15002_006E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!7th and 8th grade
1.000000 km,3.000000 km,5.000000 km,total
4180,68911,118951,2401045

B15002_014E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Associate's degree
1.000000 km,3.000000 km,5.000000 km,total
7732,138209,273637,6568897

"B15002_029E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, less than 1 year"
1.000000 km,3.000000 km,5.000000 km,total
7623,144367,282135,6930784

"B15002_012E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, less than 1 year"
1.000000 km,3.000000 km,5.000000 km,total
5957,118742,230489,5688555

B15002_035E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Doctorate degree
1.000000 km,3.000000 km,5.000000 km,total
929,17323,42232,844411

B15002_002E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:
1.000000 km,3.000000 km,5.000000 km,total
130984,2319563,4482604,97163557

"B15002_010E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!12th grade, no diploma"
1.000000 km,3.000000 km,5.000000 km,total
4356,65035,115286,1965757

